,start_time,end_time,wav_file,emotion,val,act,dom
60,158.95,161.35,Ses01F_impro04_M026,neu,3.5,3,3
61,162.12,164.7825,Ses01F_impro04_M027,neu,3.5,3.5,3.5
62,165.47,166.71,Ses01F_impro04_M028,neu,3,2.5,2
63,167.05,171.43,Ses01F_impro04_M029,fru,2.5,3.5,3.5
64,171.75,175.26,Ses01F_impro04_M030,fru,2.5,2.5,3
65,178.0033,180.865,Ses01F_impro04_M031,neu,3,2.5,2.5
66,182.82,185.54,Ses01F_impro04_M032,neu,2.5,2,1.5
67,186.12,187.4625,Ses01F_impro04_M033,xxx,2.5,3.5,2
68,188.01,190.71,Ses01F_impro04_M034,fru,2.5,2,2
69,191.28,195.13,Ses01F_impro04_M035,fru,2,3.5,3
70,200.215,202.0825,Ses01F_impro04_M036,xxx,2.5,3,3.5
71,4.81,10.06,Ses01F_script03_2_F000,hap,4,3,4
72,15.48,19.55,Ses01F_script03_2_F001,hap,3.5,3.5,4
73,22.31,26.13,Ses01F_script03_2_F002,hap,4,3.5,4
74,29.22,34.58,Ses01F_script03_2_F003,xxx,2.5,2.5,3.5
75,37.5,43.15,Ses01F_script03_2_F004,neu,3.5,3.5,4.5
76,46.75,48.7825,Ses01F_script03_2_F005,neu,3.5,2,3.5
77,49.41,53.47,Ses01F_script03_2_F006,xxx,3.5,3,3.5
78,54.7489,61.4654,Ses01F_script03_2_F007,xxx,3.5,3,4
79,64.3325,67.5625,Ses01F_script03_2_F008,fru,2,2.5,3.5
80,73.69,76.1625,Ses01F_script03_2_F009,xxx,2.5,3,3.5
81,78.2197,81.82,Ses01F_script03_2_F010,xxx,2,2.5,3.5
82,84.46,88.97,Ses01F_script03_2_F011,xxx,2,4,4.5
83,93.85,96.93,Ses01F_script03_2_F012,xxx,2,3,4
84,100.2315,102.31,Ses01F_script03_2_F013,ang,1.5,3,4
85,103.27,105.45,Ses01F_script03_2_F014,ang,1.5,3,4.5
86,114.8512,119.6,Ses01F_script03_2_F015,ang,2.5,3,4
87,121.95,126.54,Ses01F_script03_2_F016,ang,4,3,4.5
88,128.71,130.48,Ses01F_script03_2_F017,ang,2,2.5,3.5
89,130.95,132.79,Ses01F_script03_2_F018,ang,1.5,2.5,4
90,137.13,141.197,Ses01F_script03_2_F019,xxx,2,3,4
91,143.64,146.38,Ses01F_script03_2_F020,xxx,1.5,2.5,4.5
92,149.98,158.4966,Ses01F_script03_2_F021,ang,1,4.5,5
93,160.75,163.38,Ses01F_script03_2_F022,ang,2.5,4,5
94,165.69,167.93,Ses01F_script03_2_F023,ang,2.5,3,4.5
95,175.11,179.46,Ses01F_script03_2_F024,ang,2,2.5,4
96,182.03,184.91,Ses01F_script03_2_F025,ang,1.5,2.5,4
97,193.03,198.88,Ses01F_script03_2_F026,ang,3.5,2.5,3.5
98,201.33,203.3069,Ses01F_script03_2_F027,ang,2,2.5,3.5
99,205.33,207.8,Ses01F_script03_2_F028,ang,1.5,3.5,4.5
100,212.4025,215.4525,Ses01F_script03_2_F029,ang,2.5,3.5,4
101,227.0225,228.41,Ses01F_script03_2_F030,neu,3,2.5,2
102,229.4275,233.08,Ses01F_script03_2_F031,neu,2.5,3,3.5
103,235.24,237.8068,Ses01F_script03_2_F032,neu,3.5,3,3.5
104,241.2519,244.1269,Ses01F_script03_2_F033,xxx,3,2,3.5
105,246.5557,251.6118,Ses01F_script03_2_F034,ang,2.5,2,4
106,256.48,260.4175,Ses01F_script03_2_F035,ang,2,3.5,3.5
107,262.89,271.72,Ses01F_script03_2_F036,ang,1,4,5
108,272.73,283.08,Ses01F_script03_2_F037,ang,1,4.5,5
109,287.295,292.72,Ses01F_script03_2_F038,ang,1.5,2,4.5
110,294.63,296.62,Ses01F_script03_2_F039,ang,4,3.5,3.5
111,297.03,315.46,Ses01F_script03_2_F040,ang,1,5,5
112,3.1785,6.24,Ses01F_script03_2_M000,xxx,3.5,3.5,3
113,9.56,16.0125,Ses01F_script03_2_M001,neu,2.5,2.5,3
114,18.66,23.04,Ses01F_script03_2_M002,neu,2.5,3.5,3
115,25.71,29.87,Ses01F_script03_2_M003,xxx,2,3,3.5
116,34.21,38.44,Ses01F_script03_2_M004,neu,2,4,4
117,42.25,47.12,Ses01F_script03_2_M005,fru,2,3.5,3.5
118,48.16,49.95,Ses01F_script03_2_M006,xxx,2,2.5,3
119,52.67,55.2693,Ses01F_script03_2_M007,ang,2.5,2.5,3
120,60.8262,64.8857,Ses01F_script03_2_M008,xxx,2,3,4
121,67.06,74.01,Ses01F_script03_2_M009,fru,2.5,3,3.5
122,75.96,78.65,Ses01F_script03_2_M010,neu,3,4,3
123,81.38,84.9165,Ses01F_script03_2_M011,neu,2.5,4,3
124,88.08,94.23,Ses01F_script03_2_M012,fru,2,4,4
125,95.99,100.95,Ses01F_script03_2_M013,fru,1.5,3.5,4
126,101.9,104.15,Ses01F_script03_2_M014,ang,2,3.5,4
127,105.2596,108.2337,Ses01F_script03_2_M015,fru,2,3.5,3.5
128,111.98,115.33,Ses01F_script03_2_M016,neu,3,2.5,2.5
129,119.7,122.89,Ses01F_script03_2_M017,xxx,2.5,2,3
130,126.1529,129.135,Ses01F_script03_2_M018,neu,3,4,3.5
131,130.05,131.42,Ses01F_script03_2_M019,neu,3,2.5,3.5
132,132.31,137.4,Ses01F_script03_2_M020,ang,2,4,4.5
133,140.8379,144.03,Ses01F_script03_2_M021,ang,2,4.5,3.5
134,145.67,152.95,Ses01F_script03_2_M022,ang,2,4.5,4.5
135,157.82,161.54,Ses01F_script03_2_M023,ang,1.5,4.5,4.5
136,162.77,175.52,Ses01F_script03_2_M024,ang,1,4.5,4.5
137,178.77,183.26,Ses01F_script03_2_M025,ang,2,4,4.5
138,184.35,193.4894,Ses01F_script03_2_M026,ang,2,4.5,4.5
139,197.91,212.75,Ses01F_script03_2_M027,ang,3,4.5,4.5
140,215.12,221.15,Ses01F_script03_2_M028,xxx,4.5,3.5,4.5
141,224.5224,229.6,Ses01F_script03_2_M029,ang,2.5,3,3.5
142,233.405,235.7308,Ses01F_script03_2_M030,ang,2.5,3,3
143,237.24,241.4997,Ses01F_script03_2_M031,neu,2.5,2.5,3.5
144,243.8542,246.8036,Ses01F_script03_2_M032,ang,3,2.5,3.5
145,251.3391,257.01,Ses01F_script03_2_M033,ang,2,3.5,3.5
146,260.4625,263.64,Ses01F_script03_2_M034,ang,1.5,3,4.5
147,264.8475,267.19,Ses01F_script03_2_M035,ang,2,3.5,4
148,269.3425,273.61,Ses01F_script03_2_M036,ang,4,3.5,3.5
149,277.5875,286.56,Ses01F_script03_2_M037,ang,1.5,4,5
150,293.2325,295.3,Ses01F_script03_2_M038,ang,2,2.5,3.5
151,295.96,297.455,Ses01F_script03_2_M039,ang,2,3,3.5
152,298.65,314.65,Ses01F_script03_2_M040,ang,1,4.5,5
153,3.95,10.59,Ses01F_impro07_F000,exc,5,5,4.5
154,11.36,16.5575,Ses01F_impro07_F001,xxx,4,4.5,3.5
155,19.61,31.65,Ses01F_impro07_F002,exc,4,4,3
156,32.52,34.9,Ses01F_impro07_F003,exc,4.5,4.5,4.5
157,37.1625,42.49,Ses01F_impro07_F004,exc,3,3.5,3
158,42.955,45.885,Ses01F_impro07_F005,exc,5,4.5,4.5
159,46.28,55.41,Ses01F_impro07_F006,xxx,4.5,4,3.5
160,63.02,72.75,Ses01F_impro07_F007,xxx,4,4,3.5
161,73.505,80.78,Ses01F_impro07_F008,xxx,4,3,3
162,81.0275,83.305,Ses01F_impro07_F009,exc,4,3,2.5
163,84.51,88.31,Ses01F_impro07_F010,exc,5,4.5,4
164,89.56,94.815,Ses01F_impro07_F011,xxx,4,3.5,3
165,94.86,100.74,Ses01F_impro07_F012,exc,4.5,4,3.5
166,103.26,110.46,Ses01F_impro07_F013,exc,4.5,4,4
167,115.68,126.41,Ses01F_impro07_F014,xxx,4,3.5,3.5
168,127.43,130.3175,Ses01F_impro07_F015,xxx,4.5,4,3
169,133.3125,142.3625,Ses01F_impro07_F016,exc,4.5,3.5,3
170,2.97,4.78,Ses01F_impro07_M000,exc,3.5,3,2
171,7.5325,11.96,Ses01F_impro07_M001,exc,4.5,4.5,4
172,13.92,19.09,Ses01F_impro07_M002,exc,4.5,4,4
173,20.68,28.06,Ses01F_impro07_M003,exc,4.5,3.5,2.5
174,30.915,38.81,Ses01F_impro07_M004,exc,4,4,3
175,41.17,46.9975,Ses01F_impro07_M005,exc,4.5,4.5,3.5
176,47.11,52.8125,Ses01F_impro07_M006,exc,4.5,4.5,3.5
177,54.16,63.28,Ses01F_impro07_M007,exc,4.5,4.5,4.5
178,64.6275,67.24,Ses01F_impro07_M008,exc,4,3,3
179,67.725,74.0325,Ses01F_impro07_M009,exc,3.5,4,3.5
180,76.62,78.17,Ses01F_impro07_M010,xxx,3.5,3.5,2.5
181,78.84,81.36,Ses01F_impro07_M011,xxx,3,2.5,2.5
182,82.6575,87.1025,Ses01F_impro07_M012,neu,3,2.5,3
183,87.5875,90.65,Ses01F_impro07_M013,neu,4,2.5,2.5
184,94.29,99.37,Ses01F_impro07_M014,exc,4,4.5,3
185,99.9875,110.54,Ses01F_impro07_M015,exc,4.5,4,3.5
186,110.54,116.28,Ses01F_impro07_M016,xxx,4.5,4,3
187,116.28,119.8507,Ses01F_impro07_M017,exc,4,3.5,2.5
188,123.2575,128.04,Ses01F_impro07_M018,neu,4,3,3
189,128.54,141.685,Ses01F_impro07_M019,hap,4.5,4,3
190,4.88,7.74,Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667
191,7.93,11.37,Ses01F_impro03_F001,hap,4,2.6667,2.6667
192,12.8,15.37,Ses01F_impro03_F002,hap,4.3333,3,2.3333
193,15.87,20.4867,Ses01F_impro03_F003,xxx,5,4,3
194,21.75,25.52,Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333
195,25.5584,28.14,Ses01F_impro03_F005,hap,4.3333,4,2.3333
196,28.37,34.71,Ses01F_impro03_F006,hap,4,3.3333,2.6667
197,35.6349,40.1,Ses01F_impro03_F007,xxx,4,3.3333,2.3333
198,40.12,42.79,Ses01F_impro03_F008,hap,4,3.3333,2.3333
199,42.84,44.54,Ses01F_impro03_F009,hap,4,2.6667,2.3333
200,47.87,51.075,Ses01F_impro03_F010,hap,4,3.3333,3
201,51.36,53.4925,Ses01F_impro03_F011,xxx,4,3,2.3333
202,55.865,58.15,Ses01F_impro03_F012,hap,4,3.6667,2.6667
203,60.73,65.86,Ses01F_impro03_F013,hap,5,4,3.3333
204,68.01,73.75,Ses01F_impro03_F014,xxx,4,3.3333,2.3333
205,74.2675,78.8425,Ses01F_impro03_F015,exc,4.6667,3.6667,3
206,79.035,81.0875,Ses01F_impro03_F016,hap,4,3,2.3333
207,82.0975,85.08,Ses01F_impro03_F017,neu,3.6667,2.6667,2.3333
208,85.1,88.0225,Ses01F_impro03_F018,neu,3.6667,3,2
209,88.08,89.5,Ses01F_impro03_F019,neu,3.6667,2.3333,2
210,91.235,92.615,Ses01F_impro03_F020,xxx,3.6667,3,2.3333
211,92.75,98.21,Ses01F_impro03_F021,hap,3.3333,3.6667,2.6667
212,99.7775,102.03,Ses01F_impro03_F022,neu,3.3333,2.6667,2
213,102.62,103.4625,Ses01F_impro03_F023,neu,3,2.3333,2
214,103.78,108.1825,Ses01F_impro03_F024,hap,4.3333,3,2.6667
215,110.23,114.16,Ses01F_impro03_F025,hap,4.3333,3.3333,3.3333
216,114.19,120.2,Ses01F_impro03_F026,hap,4.6667,4,3
217,3.24,5.46,Ses01F_impro03_M000,neu,4,3,2.6667
218,6.6,8.66,Ses01F_impro03_M001,neu,4.3333,2.6667,2.3333
219,10.53,13.84,Ses01F_impro03_M002,sur,4.3333,3.3333,2.6667
220,14.93,18.9075,Ses01F_impro03_M003,exc,5,4.6667,3
221,20.2532,22.83,Ses01F_impro03_M004,xxx,4.6667,4,2.3333
222,27.28,29.65,Ses01F_impro03_M005,xxx,4,3.3333,2.3333
223,34.25,36.34,Ses01F_impro03_M006,neu,4,2.6667,2.3333
224,37.7175,40.47,Ses01F_impro03_M007,hap,4,3,2.3333
225,42.09,43.41,Ses01F_impro03_M008,neu,4,2.6667,2
226,44.16,49.07,Ses01F_impro03_M009,neu,3.6667,2.3333,2.3333
227,49.61,52.43,Ses01F_impro03_M010,xxx,4,3.3333,3
228,52.92,56.85,Ses01F_impro03_M011,neu,3.6667,3.6667,2.6667
229,57.46,61.375,Ses01F_impro03_M012,xxx,4.3333,3.6667,2.6667
230,65.6425,68.44,Ses01F_impro03_M013,hap,4.6667,4,3
231,73.41,76.9975,Ses01F_impro03_M014,hap,4.3333,3.6667,2.6667
232,78.32,80.5,Ses01F_impro03_M015,hap,4,3,2.6667
233,80.7175,82.5225,Ses01F_impro03_M016,neu,3.6667,2.6667,2.6667
234,84.6925,87.36,Ses01F_impro03_M017,sur,3.6667,3.6667,2.3333
235,87.6425,89.08,Ses01F_impro03_M018,sur,3,2.6667,2.6667
236,89.12,93.91,Ses01F_impro03_M019,neu,3,3,2.3333
237,97.03,101.65,Ses01F_impro03_M020,neu,3.3333,3,2.6667
238,101.67,104.35,Ses01F_impro03_M021,neu,3,3.3333,2.6667
239,105.29,106.95,Ses01F_impro03_M022,exc,4,3.3333,2.6667
240,107.71,111.4,Ses01F_impro03_M023,hap,4.6667,4.3333,3.6667
241,117.36,119.58,Ses01F_impro03_M024,neu,3.6667,2.6667,2.3333
242,6.21,9.32,Ses01F_script01_1_F000,fru,2,2.3333,2.3333
243,9.35,12.8955,Ses01F_script01_1_F001,xxx,2,2.3333,1.6667
244,14.3063,19.5526,Ses01F_script01_1_F002,sur,2.3333,2.3333,2.6667
245,22.32,24.6667,Ses01F_script01_1_F003,xxx,3,3,2.6667
246,35.3799,39.09,Ses01F_script01_1_F004,xxx,2,2,2
247,40.02,44.9688,Ses01F_script01_1_F005,neu,2,1.6667,2
248,46.95,52.32,Ses01F_script01_1_F006,xxx,1.6667,2.3333,3.3333
249,58.95,60.88,Ses01F_script01_1_F007,xxx,2.6667,3.6667,3.6667
250,67.6,70.67,Ses01F_script01_1_F008,xxx,2,2.3333,2.6667
251,78.3648,81.5611,Ses01F_script01_1_F009,fru,2.6667,2.6667,3.6667
252,100.14,102.3482,Ses01F_script01_1_F010,fru,2.6667,2.6667,3
253,104.29,108.7408,Ses01F_script01_1_F011,fru,2.3333,3.3333,3.6667
254,117.8228,129.51,Ses01F_script01_1_F012,fru,2.3333,3,4
255,134.01,141.95,Ses01F_script01_1_F013,xxx,2.3333,4.3333,3.6667
256,150.27,152.6736,Ses01F_script01_1_F014,fru,2.6667,1.6667,2.3333
257,156.1786,160.67,Ses01F_script01_1_F015,neu,3,2.3333,3
258,165.6573,169.559,Ses01F_script01_1_F016,xxx,2.6667,2.6667,3
259,171.63,175.49,Ses01F_script01_1_F017,xxx,2,3,3.6667
260,176.96,179.75,Ses01F_script01_1_F018,xxx,2.6667,2.6667,2.3333
261,183.98,186.05,Ses01F_script01_1_F019,xxx,3,2.6667,2.3333
262,194.06,198.91,Ses01F_script01_1_F020,xxx,2.3333,4,4.3333
263,205.16,215.17,Ses01F_script01_1_F021,fru,2.3333,4,4
264,219.04,223.82,Ses01F_script01_1_F022,fru,2.3333,3.3333,2.3333
265,235.2,238.56,Ses01F_script01_1_F023,fru,3.3333,2.6667,2.3333
266,241.3769,245.1904,Ses01F_script01_1_F024,fru,2.6667,2.6667,2.6667
267,246.8,251.4508,Ses01F_script01_1_F025,fru,2.6667,3.3333,3.6667
268,266.83,270.73,Ses01F_script01_1_F026,fru,2.6667,2.6667,3
269,274.1997,277.21,Ses01F_script01_1_F027,fru,2.3333,2.3333,2.3333
270,278.15,282.59,Ses01F_script01_1_F028,fru,2.3333,2,2.3333
271,282.73,286.92,Ses01F_script01_1_F029,fru,2.3333,3.6667,3.6667
272,299.31,302.195,Ses01F_script01_1_F030,fru,2.6667,2,1.6667
273,304.23,308.98,Ses01F_script01_1_F031,fru,2.3333,2.3333,1.6667
274,309.04,312.7098,Ses01F_script01_1_F032,fru,2,2,2.6667
275,312.74,318.2648,Ses01F_script01_1_F033,fru,2.6667,2.6667,3.3333
276,323.3348,326.075,Ses01F_script01_1_F034,neu,2.3333,2.6667,2.3333
277,341.97,344.8052,Ses01F_script01_1_F035,ang,1.6667,3.6667,4
278,349.63,352.5866,Ses01F_script01_1_F036,xxx,3,4,3.6667
279,356.4,359.87,Ses01F_script01_1_F037,ang,1.3333,4.3333,4.3333
280,361.81,364.61,Ses01F_script01_1_F038,ang,2,3.6667,3.6667
281,382.6,387.97,Ses01F_script01_1_F039,fru,2.3333,3,3.6667
282,389.54,392.9042,Ses01F_script01_1_F040,fru,2.3333,2.6667,4
283,394.91,404.69,Ses01F_script01_1_F041,ang,1.6667,4.6667,4.3333
284,406.39,409.46,Ses01F_script01_1_F042,ang,2,4,3.6667
285,412.7875,416.2484,Ses01F_script01_1_F043,fru,2.3333,2.3333,2
286,420.35,423.2141,Ses01F_script01_1_F044,fru,2.3333,1.3333,1.3333
287,11.9892,15.1219,Ses01F_script01_1_M000,neu,3,1.6667,2.3333
288,19.0456,22.3962,Ses01F_script01_1_M001,neu,3,2,2.3333
289,24.8,35.9971,Ses01F_script01_1_M002,neu,2.6667,3,2.3333
290,38.66,40.53,Ses01F_script01_1_M003,neu,3,2,2
291,44.55,47.23,Ses01F_script01_1_M004,neu,3,2,2
292,51.43,59.55,Ses01F_script01_1_M005,fru,2.6667,2.6667,2.3333
293,62.1628,68.25,Ses01F_script01_1_M006,xxx,2.6667,2.6667,2.6667
294,70.0764,78.8718,Ses01F_script01_1_M007,neu,2.6667,3,3
295,81.4068,89.4307,Ses01F_script01_1_M008,fru,2.3333,2.6667,3
296,89.7172,101.38,Ses01F_script01_1_M009,fru,2.3333,3.6667,3.6667
297,102.1,104.72,Ses01F_script01_1_M010,neu,3,3.3333,3.6667
298,108.1897,118.47,Ses01F_script01_1_M011,fru,2.3333,2.3333,3.3333
299,130.76,134.59,Ses01F_script01_1_M012,neu,3,1.3333,2
300,141.05,149.75,Ses01F_script01_1_M013,fru,3,2.3333,2.3333
301,153.886,155.8699,Ses01F_script01_1_M014,neu,3,1.6667,2.3333
302,161.998,165.3487,Ses01F_script01_1_M015,neu,3,1.6667,2.6667
303,169.7574,172.18,Ses01F_script01_1_M016,neu,3.6667,2.6667,2.3333
304,174.7833,177.72,Ses01F_script01_1_M017,neu,3,2.6667,2.6667
305,179.28,181.9475,Ses01F_script01_1_M018,fru,3,3.3333,3.6667
306,185.03,195.28,Ses01F_script01_1_M019,ang,2,4.3333,4
307,197.6,199.7475,Ses01F_script01_1_M020,fru,2.6667,4,3.6667
308,224.7,236.05,Ses01F_script01_1_M021,fru,2,3,2.3333
309,237.8,240.429,Ses01F_script01_1_M022,fru,2,3.3333,3.3333
310,245.2786,247.57,Ses01F_script01_1_M023,neu,3,2,2.3333
311,251.2965,261.05,Ses01F_script01_1_M024,neu,2.6667,1.6667,2
312,262.65,267.2119,Ses01F_script01_1_M025,neu,2.6667,2,3
313,269.73,274.6626,Ses01F_script01_1_M026,fru,2,3.3333,3
314,276.24,278.3659,Ses01F_script01_1_M027,fru,3,2.6667,2.6667
315,281.57,283.89,Ses01F_script01_1_M028,fru,2,3,1.6667
316,285.96,296.03,Ses01F_script01_1_M029,fru,2.6667,3,3.3333
317,297,300.07,Ses01F_script01_1_M030,fru,1.6667,4.3333,4.6667
318,318.2868,321.98,Ses01F_script01_1_M031,fru,2,2,1.3333
319,325.73,336.5389,Ses01F_script01_1_M032,fru,2.6667,3.6667,3.3333
320,336.7373,342.3143,Ses01F_script01_1_M033,fru,2,2,3
321,344.4966,350.15,Ses01F_script01_1_M034,neu,3,2.6667,3.3333
322,352.1016,356.88,Ses01F_script01_1_M035,fru,2.3333,2.3333,2.3333
323,359.03,362.82,Ses01F_script01_1_M036,fru,3,3.3333,3
324,363.87,373.5675,Ses01F_script01_1_M037,fru,3,4,4
325,373.5975,383.15,Ses01F_script01_1_M038,fru,2.6667,3.6667,3.6667
326,387.5,390.11,Ses01F_script01_1_M039,neu,3,1.6667,2
327,392.31,395.69,Ses01F_script01_1_M040,neu,3,1.6667,2
328,403.43,407.04,Ses01F_script01_1_M041,fru,2.6667,2.6667,2.3333
329,408.96,412.8536,Ses01F_script01_1_M042,fru,3,2.6667,3.6667
330,415.92,420.4807,Ses01F_script01_1_M043,fru,3,2.3333,3.3333
331,5.83,8.3081,Ses01F_script02_2_F000,neu,3,1.5,2.5
332,9.58,11.4525,Ses01F_script02_2_F001,neu,2.5,2,3
333,13.2797,17.05,Ses01F_script02_2_F002,xxx,2.5,2.5,2.5
334,21.83,29.71,Ses01F_script02_2_F003,xxx,2.5,3.5,3.5
335,31.21,43.4739,Ses01F_script02_2_F004,xxx,2.5,3.5,2.5
336,45.42,49.0894,Ses01F_script02_2_F005,xxx,2.5,2.5,3
337,55.67,61.96,Ses01F_script02_2_F006,ang,1.5,4.5,4
338,63.15,68.86,Ses01F_script02_2_F007,fru,1.5,3.5,3
339,75.66,81.6545,Ses01F_script02_2_F008,ang,1.5,3,3.5
340,82.34,86.54,Ses01F_script02_2_F009,ang,2,4,4
341,87.71,91.3205,Ses01F_script02_2_F010,ang,2,3.5,3.5
342,94.5325,98.8125,Ses01F_script02_2_F011,xxx,2,4,3
343,98.845,111.65,Ses01F_script02_2_F012,fru,1.5,4,3.5
344,113.39,115.78,Ses01F_script02_2_F013,fru,1.5,1.5,2.5
345,116.9814,124.0468,Ses01F_script02_2_F014,xxx,2,3,2.5
346,124.0928,134.59,Ses01F_script02_2_F015,sad,1.5,2.5,2.5
347,136.16,139.33,Ses01F_script02_2_F016,ang,1.5,4.5,4
348,165.72,172.67,Ses01F_script02_2_F017,neu,2.5,2,2
349,173.92,187.61,Ses01F_script02_2_F018,xxx,2.5,2,2.5
350,187.8883,204.1594,Ses01F_script02_2_F019,hap,3,2.5,2.5
351,206.42,209.26,Ses01F_script02_2_F020,xxx,3.5,2.5,2
352,209.29,211.95,Ses01F_script02_2_F021,fru,3.5,2.5,2
353,227.2196,233.5946,Ses01F_script02_2_F022,sad,2,1.5,2.5
354,243.1455,245.4699,Ses01F_script02_2_F023,neu,2,1.5,2.5
355,247.4089,249.0832,Ses01F_script02_2_F024,xxx,4,2,2
356,250.14,253.9225,Ses01F_script02_2_F025,fru,4,2,2.5
357,260.2214,262.0632,Ses01F_script02_2_F026,neu,4,1.5,3
358,269.5575,271.5911,Ses01F_script02_2_F027,fru,2.5,2,2.5
359,278.74,282.92,Ses01F_script02_2_F028,xxx,2.5,2.5,2.5
360,291.9425,293.38,Ses01F_script02_2_F029,fru,2,3,2.5
361,311.4518,317.13,Ses01F_script02_2_F030,fru,2,3,3
362,319.4461,324.9325,Ses01F_script02_2_F031,xxx,2.5,3,2.5
363,327.976,334.56,Ses01F_script02_2_F032,fru,2.5,3,2.5
364,334.75,337.8491,Ses01F_script02_2_F033,fru,2.5,2.5,2
365,339.34,343.81,Ses01F_script02_2_F034,sad,2.5,2,2
366,352.66,366.2026,Ses01F_script02_2_F035,sad,2,2.5,2
367,368.63,370.8,Ses01F_script02_2_F036,sad,2.5,2.5,1.5
368,376.6511,384.03,Ses01F_script02_2_F037,sur,2,3.5,3
369,385.3,388.75,Ses01F_script02_2_F038,sur,2.5,3.5,2.5
370,389.7462,393.47,Ses01F_script02_2_F039,xxx,2,3.5,2.5
